5,11,0,4,0.57,0.56,0.57,0.84,0.61,0.57,1.21,0.94,0.75
6,0,0,3,0.57,0.84,1.21,0.56,0.61,0.94,0.57,0.57,0.75
6,1,0,1,0.37,0.91,0.57,0.31,0.49,0.87,0.31,0.33,0.99
6,2,0,0,0.23,0.24,0.99,0.19,0.19,1,0.18,0.19,1
6,3,0,4,0.3,0.25,0.91,0.27,0.18,1.06,0.25,0.25,1.01
6,4,0,4,0.36,0.35,0.33,0.33,0.2,0.99,0.27,0.27,1.05
6,5,0,8,0.29,0.33,0.32,0.31,0.12,0.37,0.24,0.28,0.99
6,7,0,13,0.18,0.27,0.2,0.33,0.32,0.45,0.41,0.66,0.81
6,8,0,9,0.22,0.33,0.22,0.55,0.53,0.54,0.91,0.47,0.91
6,9,0,3,0.26,0.37,0.24,0.7,0.61,0.59,0.83,0.42,0.93
6,10,0,1,0.48,0.53,0.3,0.87,0.67,0.68,0.33,0.35,0.96
6,11,0,10,0.93,0.76,0.38,0.37,0.61,0.77,0.32,0.31,0.98
7,0,0,1,0.8,0.61,0.38,0.51,0.9,0.32,0.3,1,0.28
7,1,0,0,0.2,0.88,0.2,0.25,0.95,0.26,0.19,0.99,0.19
7,2,0,2,0.38,0.61,0.8,0.32,0.9,0.51,0.28,1,0.3
7,3,0,2,0.34,0.43,0.84,0.26,0.8,0.64,0.26,0.99,0.37
7,4,0,12,0.33,0.32,0.21,0.28,0.65,0.81,0.19,0.95,0.45
7,5,0,15,0.28,0.29,0.2,0.27,0.42,0.46,0.17,0.9,0.8
7,6,0,6,0.28,0.32,0.27,0.27,0.31,0.36,0.17,0.89,1.02
7,8,0,5,0.27,0.32,0.28,0.36,0.31,0.27,1.02,0.89,0.17
7,9,0,15,0.2,0.29,0.28,0.46,0.42,0.27,0.8,0.9,0.17
7,10,0,12,0.21,0.32,0.33,0.81,0.65,0.28,0.45,0.95,0.19
7,11,0,2,0.84,0.43,0.34,0.64,0.8,0.26,0.37,0.99,0.26
8,0,0,0,0.99,0.24,0.23,1,0.19,0.19,1,0.19,0.18
8,1,0,2,0.57,0.91,0.37,0.87,0.49,0.31,0.99,0.33,0.31
8,2,0,4,1.21,0.84,0.57,0.94,0.61,0.56,0.75,0.57,0.57
8,3,0,10,0.38,0.76,0.93,0.77,0.61,0.37,0.98,0.31,0.32
8,4,0,1,0.3,0.53,0.48,0.68,0.67,0.87,0.96,0.35,0.33
8,5,0,3,0.24,0.37,0.26,0.59,0.61,0.7,0.93,0.42,0.83
8,6,0,10,0.22,0.33,0.22,0.54,0.53,0.55,0.91,0.47,0.91
8,7,0,14,0.2,0.27,0.18,0.45,0.32,0.33,0.81,0.66,0.41
8,9,0,8,0.32,0.33,0.29,0.37,0.12,0.31,0.99,0.28,0.24
8,10,0,4,0.33,0.35,0.36,0.99,0.2,0.33,1.05,0.27,0.27
8,11,0,4,0.91,0.25,0.3,1.06,0.18,0.27,1.01,0.25,0.25
9,0,0,3,0.83,0.7,0.26,0.42,0.61,0.37,0.93,0.59,0.24
9,1,0,1,0.33,0.87,0.48,0.35,0.67,0.53,0.96,0.68,0.3
9,2,0,10,0.32,0.37,0.93,0.31,0.61,0.76,0.98,0.77,0.38
9,3,0,4,0.57,0.56,0.57,0.57,0.61,0.84,0.75,0.94,1.21
9,4,0,2,0.31,0.31,0.37,0.33,0.49,0.91,0.99,0.87,0.57
9,5,0,0,0.18,0.19,0.23,0.19,0.19,0.24,1,1,0.99
9,6,0,4,0.25,0.27,0.3,0.25,0.18,0.25,1.01,1.06,0.91
9,7,0,4,0.27,0.33,0.36,0.27,0.2,0.35,1.05,0.99,0.33
9,8,0,8,0.24,0.31,0.29,0.28,0.12,0.33,0.99,0.37,0.32
9,10,0,14,0.41,0.33,0.18,0.66,0.32,0.27,0.81,0.45,0.2
9,11,0,10,0.91,0.55,0.22,0.47,0.53,0.33,0.91,0.54,0.22
10,0,0,15,0.8,0.46,0.2,0.9,0.42,0.29,0.17,0.27,0.28
10,1,0,12,0.45,0.81,0.21,0.95,0.65,0.32,0.19,0.28,0.33
10,2,0,2,0.37,0.64,0.84,0.99,0.8,0.43,0.26,0.26,0.34
10,3,0,2,0.3,0.51,0.8,1,0.9,0.61,0.28,0.32,0.38
10,4,0,0,0.19,0.26,0.2,0.99,0.95,0.88,0.19,0.25,0.2
10,5,0,1,0.28,0.32,0.38,1,0.9,0.61,0.3,0.51,0.8
10,6,0,2,0.26,0.26,0.34,0.99,0.8,0.43,0.37,0.64,0.84
10,7,0,12,0.19,0.28,0.33,0.95,0.65,0.32,0.45,0.81,0.21
10,8,0,15,0.17,0.27,0.28,0.9,0.42,0.29,0.8,0.46,0.2
10,9,0,5,0.17,0.27,0.28,0.89,0.31,0.32,1.02,0.36,0.27
10,11,0,6,1.02,0.36,0.27,0.89,0.31,0.32,0.17,0.27,0.28
11,0,0,8,0.99,0.37,0.32,0.28,0.12,0.33,0.24,0.31,0.29
11,1,0,4,1.05,0.99,0.33,0.27,0.2,0.35,0.27,0.33,0.36
11,2,0,4,1.01,1.06,0.91,0.25,0.18,0.25,0.25,0.27,0.3
11,3,0,0,1,1,0.99,0.19,0.19,0.24,0.18,0.19,0.23
11,4,0,1,0.99,0.87,0.57,0.33,0.49,0.91,0.31,0.31,0.37
11,5,0,3,0.75,0.94,1.21,0.57,0.61,0.84,0.57,0.56,0.57
11,6,0,10,0.98,0.77,0.38,0.31,0.61,0.76,0.32,0.37,0.93
11,7,0,1,0.96,0.68,0.3,0.35,0.67,0.53,0.33,0.87,0.48
11,8,0,3,0.93,0.59,0.24,0.42,0.61,0.37,0.83,0.7,0.26
11,9,0,9,0.91,0.54,0.22,0.47,0.53,0.33,0.91,0.55,0.22
11,10,0,13,0.81,0.45,0.2,0.66,0.32,0.27,0.41,0.33,0.18
0,1,1,3,1.15,0.88,0.8,1.12,0.5,0.9,0.75,0.9,0.68
0,2,1,10,1.2,0.39,1.08,1.12,0.53,1.02,0.71,0.89,0.68
0,3,1,4,1.21,0.4,0.96,1.13,0.54,1.07,0.72,0.91,0.7
0,4,1,4,1.22,0.47,0.49,1.16,0.52,1.02,0.76,1,0.86
0,5,1,9,1.2,0.39,0.44,1.16,0.4,0.45,0.79,1.11,1.11
0,6,1,4,1.2,0.41,0.46,1.17,0.39,0.45,0.81,1.15,0.99
0,7,1,4,1.22,0.47,0.52,1.23,0.37,0.54,0.95,1.07,0.52
0,8,1,9,1.18,0.41,0.3,1.2,0.2,0.34,1.12,0.42,0.48
0,9,1,3,1.18,0.36,0.23,1.2,0.22,0.27,0.97,0.46,0.51
0,10,1,3,1.23,0.41,0.5,1.17,0.22,0.62,0.58,0.5,0.49
0,11,1,3,1.09,0.44,0.38,0.53,0.17,0.46,0.5,0.51,0.44
1,0,1,5,1.08,1.01,0.33,0.43,0.29,0.41,0.37,0.44,0.37
1,2,1,6,0.16,0.97,1.04,0.26,0.54,0.44,0.28,0.27,0.12
1,3,1,16,0.17,1.03,0.84,0.27,0.62,0.59,0.3,0.28,0.11
1,4,1,16,0.21,1.1,0.4,0.29,0.91,0.87,0.33,0.38,0.34
1,5,1,1,0.29,1.12,0.4,0.32,1.06,0.54,0.35,0.62,0.91
1,6,1,4,0.33,1.12,0.41,0.36,1.09,0.48,0.37,0.76,0.83
1,7,1,16,0.44,1.1,0.38,0.49,0.98,0.42,0.37,0.99,0.42
1,8,1,1,0.52,1.08,0.36,0.74,0.75,0.42,0.88,0.56,0.47
